"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
48453002005,"Texas","Travis County",5446,2618,2828,41.3,50.2,3.1,0,4.9,0,3243,62095,8301,42286,10612,29.1,62,43.6,17.4,23.6,9.7,5.7,70,4.1,3.5,3.4,4.8,14.2,25.1,3725,81.9,8.1,9.9,0.1,1.9
48453002104,"Texas","Travis County",3618,1766,1852,49,42.6,5.3,0,1.4,0,1975,74009,17451,30994,7249,34.8,68.1,45.9,15.9,23.2,10.6,4.4,76.7,15.4,2.8,0,3.7,1.4,24.6,1860,80.7,13.8,4.5,1,3.2
48453002105,"Texas","Travis County",4962,2678,2284,52.1,31.1,13.2,0,1.9,0,2962,37891,3936,24499,3004,23.2,33,30.1,22.9,21.4,16.8,8.8,65.9,13.1,7,7.4,2.4,4.1,21,3077,86.2,9.5,4.3,0,4.4
48453002106,"Texas","Travis County",2906,1386,1520,46.7,43.4,7.2,1,0,0,2034,52071,10272,32587,4938,15.5,27.5,50.5,14,22.1,8.2,5.2,76.9,14,1.6,0.4,2.3,4.8,21.4,1427,78.8,11.8,9.4,0,9.9
48453002107,"Texas","Travis County",4538,2160,2378,42.1,27.9,26.7,0,0.9,0,2774,43750,8074,21363,3620,19,32.2,29.1,30.1,15.1,18.5,7.2,68.1,19.1,5.8,1.3,0.4,5.3,22.5,2220,76.1,19,4.5,0.4,2.4
48453002108,"Texas","Travis County",3806,1855,1951,39.2,20.9,39.1,0,0,0,2536,43712,4422,23990,3406,15.7,28.2,32.3,21.2,24.1,8.4,14,81,6.2,8.6,0,1.8,2.4,21.9,2121,72,20.3,7.7,0,4.1
48453002109,"Texas","Travis County",3894,1694,2200,25.2,29,43.3,0,1.4,0,3236,42385,9973,24955,3812,20.6,6.3,41.7,27.5,18,7.3,5.5,75.1,2,7.2,3.4,3.6,8.6,22.7,2254,77.7,19,3.3,0,1.1
48453002110,"Texas","Travis County",4540,2285,2255,48.9,23.8,24.6,0.3,2.4,0,3182,37587,7079,18560,2280,28.3,34.7,29.2,25.7,22.1,15.7,7.2,80.3,5.5,6.3,0.7,1.5,5.8,22.5,2086,74.9,15.1,10,0,14
48453002111,"Texas","Travis County",5586,2761,2825,63.4,17.8,15.3,0,1.2,0,3304,49688,14379,21613,3023,27.8,48.2,29.5,23.9,23.3,17.3,6,75.5,11,2.6,2.3,4.3,4.3,22.9,2775,73,15,12.1,0,9
48453002112,"Texas","Travis County",5203,2455,2748,44.9,29.7,21.6,0,1.9,0,2496,31771,4787,20500,5424,35.1,52.8,28,21.2,21,17.9,11.8,65.8,17.1,6.8,1.9,2.7,5.7,25.1,2453,75.1,12.4,12.1,0.4,10.1
48453002113,"Texas","Travis County",3608,1881,1727,35.4,41,19.7,0.4,0.9,0,2673,62198,5841,29892,4536,20.6,47.3,41.2,15.1,26.8,13.4,3.6,78.3,8.2,7.7,0,1.5,4.2,29.9,1932,81.6,14.4,3.9,0,3
48453002207,"Texas","Travis County",9529,4826,4703,56.8,17.5,23.7,0,0.5,0,5041,59250,7907,20457,2147,18.9,30.6,22.2,16,29.2,18.4,14.2,81.5,16,0,0.3,0.4,1.8,33.5,4947,83.3,14.4,2.1,0.2,3.1
48453002209,"Texas","Travis County",10065,4894,5171,52.2,23.6,21.4,0,1.3,0,5400,53981,7626,21178,2471,16.4,21.2,32.2,16.7,28,7.3,15.7,78.5,15.7,1.3,0.5,0,4,29.6,4722,74.3,20.2,5.5,0,9.1
48453002211,"Texas","Travis County",2885,1383,1502,64.7,16.8,14.2,0,1.6,0,1607,70293,12928,24906,3988,14,14,30.5,12.6,27.4,21.1,8.3,80.4,14.5,0,0.3,0.7,4.1,29.5,1487,73,20.2,6.9,0,2.9
