STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
"48","453","001739","48453001739","17.39",Census Tract 17.39,G5020,S,"4683848","0","+30.2077720","-097.8457743"
"48","453","001737","48453001737","17.37",Census Tract 17.37,G5020,S,"8664506","0","+30.2139338","-097.8808501"
"48","453","001740","48453001740","17.40",Census Tract 17.40,G5020,S,"4621748","0","+30.1897948","-097.8569091"
"48","453","001765","48453001765","17.65",Census Tract 17.65,G5020,S,"69948118","10507567","+30.4524332","-097.8703972"
"48","453","001715","48453001715","17.15",Census Tract 17.15,G5020,S,"5954653","0","+30.4337160","-097.7944178"
"48","453","001714","48453001714","17.14",Census Tract 17.14,G5020,S,"17585078","0","+30.4243281","-097.8278688"
"48","453","001743","48453001743","17.43",Census Tract 17.43,G5020,S,"32658621","589084","+30.3266671","-097.9003214"
"48","453","001762","48453001762","17.62",Census Tract 17.62,G5020,S,"29224836","2995966","+30.3486077","-097.9727579"
"48","453","001403","48453001403","14.03",Census Tract 14.03,G5020,S,"800634","0","+30.2399174","-097.7350703"
"48","453","001733","48453001733","17.33",Census Tract 17.33,G5020,S,"22580505","4561","+30.2148733","-097.9171838"
"48","453","001759","48453001759","17.59",Census Tract 17.59,G5020,S,"1912185","0","+30.4192320","-097.7531711"
"48","453","001769","48453001769","17.69",Census Tract 17.69,G5020,S,"8990867","0","+30.2426630","-097.9012650"
"48","453","001757","48453001757","17.57",Census Tract 17.57,G5020,S,"2196821","0","+30.3978193","-097.7639427"
"48","453","001768","48453001768","17.68",Census Tract 17.68,G5020,S,"213825040","1735595","+30.3110100","-098.0366687"
"48","453","001722","48453001722","17.22",Census Tract 17.22,G5020,S,"2773660","0","+30.3988645","-097.7531147"
"48","453","001761","48453001761","17.61",Census Tract 17.61,G5020,S,"28833196","917464","+30.3607919","-097.8297335"
"48","453","001751","48453001751","17.51",Census Tract 17.51,G5020,S,"1530251","0","+30.3628740","-097.7577288"
"48","453","001846","48453001846","18.46",Census Tract 18.46,G5020,S,"5687073","0","+30.4358660","-097.7137285"
"48","453","001716","48453001716","17.16",Census Tract 17.16,G5020,S,"20845374","0","+30.3935643","-097.8026127"
"48","453","001767","48453001767","17.67",Census Tract 17.67,G5020,S,"68844810","16694488","+30.4425981","-097.9632912"
"48","453","001842","48453001842","18.42",Census Tract 18.42,G5020,S,"30446149","27387","+30.3931926","-097.6203557"
"48","453","001741","48453001741","17.41",Census Tract 17.41,G5020,S,"12067054","7355688","+30.4132952","-097.9341771"
"48","453","001850","48453001850","18.50",Census Tract 18.50,G5020,S,"1737956","0","+30.4119050","-097.7017858"
"48","453","001839","48453001839","18.39",Census Tract 18.39,G5020,S,"8255627","0","+30.4047149","-097.6588008"
"48","453","001836","48453001836","18.36",Census Tract 18.36,G5020,S,"33655169","29022","+30.4687203","-097.6268670"
"48","453","001401","48453001401","14.01",Census Tract 14.01,G5020,S,"1256586","91300","+30.2502458","-097.7449822"
"48","453","002422","48453002422","24.22",Census Tract 24.22,G5020,S,"3976737","0","+30.1836331","-097.7847822"
"48","453","001837","48453001837","18.37",Census Tract 18.37,G5020,S,"279755445","105609","+30.4091913","-097.5087757"
